Year,Date,Event,Heat,Place,Name,Country,Mark,Reaction Time (s),Medal,Time,Qualified or Season Best,Country
2000,22-Sep,Female 100,10,8,Chan Than OUK,CAMCAM,14.13,,,14.13,,CAM
2000,22-Sep,Female 100,Q1,1,Merlene OTTEY,JAMJAM,11.08 Q,0.203,,11.08,Q,JAM
2000,22-Sep,Female 100,Q1,2,Debbie FERGUSON-MCKENZIE,BAHBAH,11.18 Q,0.192,,11.18,Q,BAH
2000,22-Sep,Female 100,Q1,3,Mercy NKU,NGRNGR,11.26 Q,0.172,,11.26,Q,NGR
2000,22-Sep,Female 100,Q1,4,Christine ARRON,FRAFRA,11.26 Q,0.241,,11.26,Q,FRA
2000,22-Sep,Female 100,Q1,5,Torri EDWARDS,USAUSA,11.32,0.168,,11.32,,USA
2000,22-Sep,Female 100,Q1,6,Anzhela KRAVCHENKO,UKRUKR,11.32,0.216,,11.32,,UKR
2000,22-Sep,Female 100,Q1,7,Monica TWUM,GHAGHA,11.7,0.223,,11.7,,GHA
2000,22-Sep,Female 100,Q1,8,Cydonie MOTHERSILLE,CAYCAY,11.81,0.28,,11.81,,CAY
2000,22-Sep,Female 100,Q2,1,Ekateríni THÁNOU,GREGRE,10.99 Q,0.18,,10.99,Q,GRE
2000,22-Sep,Female 100,Q2,2,Tayna LAWRENCE,JAMJAM,11.11 Q,0.19,,11.11,Q,JAM
2000,22-Sep,Female 100,Q2,3,Melinda GAINSFORD-TAYLOR,AUSAUS,11.24 Q SB,0.221,,11.24,Q,AUS
2000,22-Sep,Female 100,Q2,4,Petya PENDAREVA,BULBUL,11.36,0.231,,11.36,,BUL
2000,22-Sep,Female 100,Q2,5,Hanitriniaina RAKOTONDRABE,MADMAD,11.51,0.225,,11.51,,MAD
2000,22-Sep,Female 100,Q2,6,Iryna PUKHA,UKRUKR,11.54,0.215,,11.54,,UKR
2000,22-Sep,Female 100,Q2,7,Joan Uduak EKAH,NGRNGR,11.67,0.265,,11.67,,NGR
2000,22-Sep,Female 100,Q2,,Marion JONES,USAUSA,DQ,0.215,,DQ,,USA
2000,22-Sep,Female 100,Q3,1,Zhanna BLOCK,UKRUKR,11.08 Q,0.191,,11.08,Q,UKR
2000,22-Sep,Female 100,Q3,2,Chryste GAINES,USAUSA,11.21 Q,0.216,,11.21,Q,USA
2000,22-Sep,Female 100,Q3,3,Chandra STURRUP,BAHBAH,11.22 Q,0.234,,11.22,Q,BAH
2000,22-Sep,Female 100,Q3,4,Beverly MCDONALD,JAMJAM,11.26 Q,0.194,,11.26,Q,JAM
2000,22-Sep,Female 100,Q3,5,Mary ONYALI-OMAGBEMI,NGRNGR,11.4,0.222,,11.4,,NGR
2000,22-Sep,Female 100,Q3,6,Lauren HEWITT,AUSAUS,11.54,0.196,,11.54,,AUS
2000,22-Sep,Female 100,Q3,7,Valma BASS,SKNSKN,11.6,0.17,,11.6,,SKN
2000,22-Sep,Female 100,Q3,8,Sandra CITTE,FRAFRA,11.63,0.253,,11.63,,FRA
2000,22-Sep,Female 100,Q4,1,Savatheda FYNES,BAHBAH,11.10 Q,0.175,,11.1,Q,BAH
2000,22-Sep,Female 100,Q4,2,Vida NSIAH,GHAGHA,11.19 Q,0.181,,11.19,Q,GHA
2000,22-Sep,Female 100,Q4,3,Myriam Léonie MANI,CMRCMR,11.23 Q,0.157,,11.23,Q,CMR
2000,22-Sep,Female 100,Q4,4,Susanthika JAYASINGHE,SRISRI,11.23 Q,0.226,,11.23,Q,SRI
2000,22-Sep,Female 100,Q4,5,Xuemei LI,CHNCHN,11.46,0.22,,11.46,,CHN
2000,22-Sep,Female 100,Q4,6,Natalya IGNATOVA,RUSRUS,11.47,0.198,,11.47,,RUS
2000,22-Sep,Female 100,Q4,7,Sarah REILLY,IRLIRL,11.53,0.185,,11.53,,IRL
2000,22-Sep,Female 100,Q4,8,Lyubov PEREPELOVA,UZBUZB,11.59,0.25,,11.59,,UZB
2000,23-Sep,Female 100,S1,1,Merlene OTTEY,JAMJAM,11.22 Q,0.206,,11.22,Q,JAM
2000,23-Sep,Female 100,S1,2,Chandra STURRUP,BAHBAH,11.31 Q,0.202,,11.31,Q,BAH
2000,23-Sep,Female 100,S1,3,Zhanna BLOCK,UKRUKR,11.32 Q,0.227,,11.32,Q,UKR
2000,23-Sep,Female 100,S1,4,Debbie FERGUSON-MCKENZIE,BAHBAH,11.34 Q,0.281,,11.34,Q,BAH
2000,23-Sep,Female 100,S1,5,Vida NSIAH,GHAGHA,11.37,0.173,,11.37,,GHA
2000,23-Sep,Female 100,S1,6,Myriam Léonie MANI,CMRCMR,11.4,0.196,,11.4,,CMR
2000,23-Sep,Female 100,S1,7,Christine ARRON,FRAFRA,11.42,0.253,,11.42,,FRA
2000,23-Sep,Female 100,S1,8,Melinda GAINSFORD-TAYLOR,AUSAUS,11.45,0.21,,11.45,,AUS
2000,23-Sep,Female 100,S2,1,Ekateríni THÁNOU,GREGRE,11.10 Q,0.205,,11.1,Q,GRE
2000,23-Sep,Female 100,S2,2,Savatheda FYNES,BAHBAH,11.16 Q,0.172,,11.16,Q,BAH
2000,23-Sep,Female 100,S2,3,Tayna LAWRENCE,JAMJAM,11.12 Q,0.171,,11.12,Q,JAM
2000,23-Sep,Female 100,S2,4,Chryste GAINES,USAUSA,11.23,0.201,,11.23,,USA
2000,23-Sep,Female 100,S2,5,Beverly MCDONALD,JAMJAM,11.31,0.193,,11.31,,JAM
2000,23-Sep,Female 100,S2,6,Susanthika JAYASINGHE,SRISRI,11.33,0.188,,11.33,,SRI
2000,23-Sep,Female 100,S2,7,Mercy NKU,NGRNGR,11.56,0.228,,11.56,,NGR
2000,23-Sep,Female 100,S2,,Marion JONES,USAUSA,DQ,0.192,,DQ,,USA
2000,23-Sep,Female 100,F,1,Ekateríni THÁNOU *,GREGRE,11.12,0.206,S,11.12,,GRE
2000,23-Sep,Female 100,F,2,Tayna LAWRENCE,JAMJAM,11.18,0.163,B,11.18,,JAM
2000,23-Sep,Female 100,F,3,Merlene OTTEY,JAMJAM,11.19,0.179,,11.19,,JAM
2000,23-Sep,Female 100,F,4,Zhanna BLOCK,UKRUKR,11.2,0.223,,11.2,,UKR
2000,23-Sep,Female 100,F,5,Chandra STURRUP,BAHBAH,11.21,0.193,,11.21,,BAH
2000,23-Sep,Female 100,F,6,Savatheda FYNES,BAHBAH,11.22,0.253,,11.22,,BAH
2000,23-Sep,Female 100,F,7,Debbie FERGUSON-MCKENZIE,BAHBAH,11.29,0.238,,11.29,,BAH
2000,23-Sep,Female 100,F,,Marion JONES,USAUSA,DQ,0.189,,DQ,,USA
