Year,Date,Event,Heat,Place,Name,Country,Mark,Reaction Time (s),Medal,Time,Qualified or Season Best,Country
2000,22-Sep,Men 100,7,4,Marc BLUME,GERGER,10.42,0.208,,10.42,,GER
2000,22-Sep,Men 100,7,5,Paul DI BELLA,AUSAUS,10.52,0.231,,10.52,,AUS
2000,22-Sep,Men 100,7,6,Edgardo A. SERPAS,ESAESA,10.63,0.168,,10.63,,ESA
2000,22-Sep,Men 100,7,7,Hadhari DJAFFAR,COMCOM,10.68,0.25,,10.68,,COM
2000,22-Sep,Men 100,7,8,Kelsey NAKANELUA,ASAASA,10.93 NR,0.245,,10.93,NR,ASA
2000,22-Sep,Men 100,7,9,Jean-Aime RANDRIANALIJAONA,MADMAD,12.5,0.21,,12.5,,MAD
2000,22-Sep,Men 100,8,1,Ato BOLDON,TTOTTO,10.04 Q,0.17,,10.04,Q,TTO
2000,22-Sep,Men 100,8,2,Antoine BOUSSOMBO,GABGAB,10.13 Q EN,0.177,,10.13,Q,GAB
2000,22-Sep,Men 100,8,3,Leonard MYLES-MILLS,GHAGHA,10.15 Q SB,0.193,,10.15,Q,GHA
2000,22-Sep,Men 100,8,4,Ibrahim MEITÉ,CIVCIV,10.24 q PB,0.191,,10.24,q,CIV
2000,22-Sep,Men 100,8,5,Cláudio Roberto SOUZA,BRABRA,10.31 q,0.222,,10.31,q,BRA
2000,22-Sep,Men 100,8,6,Anninos MARCOULLIDES,CYPCYP,10.32 q SB,0.278,,10.32,q,CYP
2000,22-Sep,Men 100,8,7,Janis ROUBABA,INAINA,10.54,0.247,,10.54,,INA
2000,22-Sep,Men 100,8,8,Oltjon LULI,ALBALB,11.08,0.235,,11.08,,ALB
2000,22-Sep,Men 100,8,9,Mamane Sani ALI,NIGNIG,11.25 SB,0.219,,11.25,SB,NIG
2000,22-Sep,Men 100,9,1,Jon DRUMMOND,USAUSA,10.20 Q,0.198,,10.2,Q,USA
2000,22-Sep,Men 100,9,2,Matthew SHIRVINGTON,AUSAUS,10.35 Q,0.241,,10.35,Q,AUS
2000,22-Sep,Men 100,9,3,Patrick JARRETT,JAMJAM,10.41 Q,0.146,,10.41,Q,JAM
2000,22-Sep,Men 100,9,4,Anatoliy DOVHAL,UKRUKR,10.48,0.174,,10.48,,UKR
